year,annual_gross_loss,annual_gross_loss_m
1999,8306826.0,8.31
2000,3100226.0,3.1
2001,2938982.0,2.94
2002,2574043.0,2.57
2003,4696200.0,4.7
2004,16793105.0,16.79
2005,133533306.0,133.53
2006,3519558.0,3.52
2007,1138974.0,1.14
2008,28837949.0,28.84
2009,1006657.0,1.01
2010,1967485.0,1.97
2011,3341192.0,3.34
2012,2961814.0,2.96
2013,4385681.0,4.39
2014,2269048.0,2.27
2015,4891005.0,4.89
2016,12603021.0,12.6
2017,97098575.0,97.1
2018,9302958.0,9.3
2019,1272184.0,1.27
2020,21941973.0,21.94
2021,27085324.0,27.09
2022,54901435.0,54.9
2023,6834634.0,6.83
